                         A      104.18.6.193
                         A      104.18.7.193
                         AAAA   2606:4700::6812:6c1
                         AAAA   2606:4700::6812:7c1
                         MX     alt1.aspmx.l.google.com
                         MX     alt2.aspmx.l.google.com
                         MX     alt3.aspmx.l.google.com
                         MX     alt4.aspmx.l.google.com
                         MX     aspmx.l.google.com
                         NS     chip.ns.cloudflare.com
                         NS     sara.ns.cloudflare.com
                         SOA    chip.ns.cloudflare.com
                         TXT    1password-site-verification=PQSMIBFUFVDLLJ54YFWPMK4LH4
                         TXT    IxRSFuVt51GoCFzO1hFATM+IHE709IkM0FNlQAH1Gl8=
                         TXT    MS=ms39766133
                         TXT    MS=ms77939837
                         TXT    MS=ms93305331
                         TXT    YVIZnhlMvTOBIs4HOLRJsN/hyQWlSQHmeql3HCT+o08=
                         TXT    ZOOM_verify_sgWUHbSBS2SvK0LvSK6f6w
                         TXT    adobe-idp-site-verification=363622094eafe7b9cba4596b95ef16f4e6374498e03a6275175904e051422b13
                         TXT    ahrefs-site-verification_927efc3401513e0216d402917a76b1551641552f4d3e3588710b714f9ff61496
                         TXT    apple-domain-verification=zUkYnkJaNxVIixY9
                         TXT    atlassian-domain-verification=hMGB/LENrSpKiyQ1IgGp35F3YkOQzsskabJ/bODNUbWu8rsFm3LSccWISF44Or1l
                         TXT    atlassian-sending-domain-verification=c8ad4ac2-b9f8-4d2b-80ef-59b09f193dad
                         TXT    canva-site-verification=3_4SxTnWTZ5hAK9NJliTiw
                         TXT    cisco-ci-domain-verification=392b41e0f0d55b7464563e8a15d87e0c846319bbf6b31c89a9b0a9163e9d0820
                         TXT    cursor-domain-verification-xwmsdc=ih3BIGVLVlLJ6GjXVJhgUFvyd
                         TXT    detectify-verification=b5f767ed6c74886a12ed59a8c35d143b
                         TXT    docusign=b1f39b85-e496-46de-a8aa-e5098d7c100c
                         TXT    google-site-verification=JnUclAGYGjkk51u2k4VRhSMPFXoNFGsytKkpzdQOE8A
                         TXT    google-site-verification=S2FObrMDkvoU3YvXJyzAE79pcdaebcVc5XXpuTFqb7Y
                         TXT    google-site-verification=c6r3JTydlin3Qi5VfHACyHZpMcFf4Kr7gc4zFYQroro
                         TXT    google-site-verification=kTP0c4opE1PYGtu1Qx1S2ZY9rxmkNI2tPT4_yZs6wUA
                         TXT    google-site-verification=mTKGWircCDoab1DYxsQe_-VvPI3-FRXmCA3aq9PAAPo
                         TXT    google-site-verification=mlTB9mYKWXOt5pVMcWmPK4-Mr4OcIfGx_3dUkAqehfU
                         TXT    google-site-verification=qMuSSW9mkRZm7-qgujJqEZuPijvnySVBBoIUS5uuHBU
                         TXT    google-site-verification=vr4T8DM6ucmO_uqDiGdRlOi5fX6e00FyXJ6ewyGxpn4
                         TXT    google-site-verification=yXAfDEJLXXSscTt0mhTyrYvpZZRuAw2iI1_WWhRQbuU
                         TXT    google-site-verification=zFmZ8ZwbdPugGR7_4dvuvVUJQcYXoxrA1xk467paByc
                         TXT    h1-domain-verification=RJdgRtQcN8222srSfUZAZx9MKJwwWTsua7d3V4mSKS8JjcAi
                         TXT    linear-domain-verification=583083
                         TXT    linear-domain-verification=ji572n4yke6m
                         TXT    mongodb-site-verification=RQvq7wEb6hegkD5qWFGqEktIhCkz62rD
                         TXT    s1j54jttr05i5e603tcae6djlr
                         TXT    s1j54jttr05i5e603tcae6djlr.
                         TXT    segment-site-verification=CcRlHWZrlhfalnZktbnjifTPiLLcZyxN
                         TXT    slack-domain-verification=2pjmviqmdWlhST13gMpz0ftLxVKkzNWH5E5GuVuH
                         TXT    stripe-verification=0de83257484406faa4c4197367854130404a426cf5eb1b2cbcaad4919dec8497
                         TXT    stripe-verification=2942817b86152d99a0d441ea993ee6867ec1ac2736f7e3180295c12d3ed0154c
                         TXT    twilio-domain-verification=c951d12d8966b0f93fd719ae3b1c6a1c
                         TXT    v=spf1 include:_spf.google.com include:servers.mcsv.net include:amazonses.com include:_spf.paubox.com include:_spf.psm.knowbe4.com include:_spf.salesforce.com a:mail.verity.cloud -all
                         TXT    zapier-domain-verification-challenge=dcdbdc9b-3fda-48c2-a69e-9720d02e82da
1p-scim                  A      104.18.6.193
1p-scim                  A      104.18.7.193
1p-scim                  AAAA   2606:4700::6812:6c1
1p-scim                  AAAA   2606:4700::6812:7c1
_dmarc                   TXT    v=DMARC1;p=none;sp=none;rua=mailto:mailauth-reports@khealth.com
ablink.info              CNAME  d343xi4sw2ax3d.cloudfront.net
ablink.m                 CNAME  d343xi4sw2ax3d.cloudfront.net
ablink.mail              CNAME  d343xi4sw2ax3d.cloudfront.net
ablink.news              CNAME  d343xi4sw2ax3d.cloudfront.net
abmail.info              CNAME  u9828759.wl010.sendgrid.net
abmail.m                 CNAME  u9828759.wl010.sendgrid.net
abmail.mail              CNAME  u9828759.wl010.sendgrid.net
abmail.news              CNAME  u9828759.wl010.sendgrid.net
accounts                 A      104.18.6.193
accounts                 A      104.18.7.193
accounts                 AAAA   2606:4700::6812:6c1
accounts                 AAAA   2606:4700::6812:7c1
analytics                A      104.18.6.193
analytics                A      104.18.7.193
analytics                AAAA   2606:4700::6812:6c1
analytics                AAAA   2606:4700::6812:7c1
api                      A      104.18.6.193
api                      A      104.18.7.193
api                      AAAA   2606:4700::6812:6c1
api                      AAAA   2606:4700::6812:7c1
api-akeyless.infra       A      104.18.6.193
api-akeyless.infra       A      104.18.7.193
api-akeyless.infra       AAAA   2606:4700::6812:6c1
api-akeyless.infra       AAAA   2606:4700::6812:7c1
app                      A      104.18.6.193
app                      A      104.18.7.193
app                      AAAA   2606:4700::6812:6c1
app                      AAAA   2606:4700::6812:7c1
apps-retool              A      104.18.6.193
apps-retool              A      104.18.7.193
apps-retool              AAAA   2606:4700::6812:6c1
apps-retool              AAAA   2606:4700::6812:7c1
ask                      A      104.18.6.193
ask                      A      104.18.7.193
ask                      AAAA   2606:4700::6812:6c1
ask                      AAAA   2606:4700::6812:7c1
atlassian-bounces        CNAME  bounces.mail-us.atlassian.net
auth                     A      104.18.6.193
auth                     A      104.18.7.193
auth                     AAAA   2606:4700::6812:6c1
auth                     AAAA   2606:4700::6812:7c1
care-plan-service        A      104.18.6.193
care-plan-service        A      104.18.7.193
care-plan-service        AAAA   2606:4700::6812:6c1
care-plan-service        AAAA   2606:4700::6812:7c1
careers                  A      104.18.6.193
careers                  A      104.18.7.193
careers                  AAAA   2606:4700::6812:6c1
careers                  AAAA   2606:4700::6812:7c1
chimera                  A      104.18.6.193
chimera                  A      104.18.7.193
chimera                  AAAA   2606:4700::6812:6c1
chimera                  AAAA   2606:4700::6812:7c1
clinical-automation-portal  A      104.18.6.193
clinical-automation-portal  A      104.18.7.193
clinical-automation-portal  AAAA   2606:4700::6812:6c1
clinical-automation-portal  AAAA   2606:4700::6812:7c1
clinical-quality         A      104.18.6.193
clinical-quality         A      104.18.7.193
clinical-quality         AAAA   2606:4700::6812:6c1
clinical-quality         AAAA   2606:4700::6812:7c1
clinical-quality-kmd     A      104.18.6.193
clinical-quality-kmd     A      104.18.7.193
clinical-quality-kmd     AAAA   2606:4700::6812:6c1
clinical-quality-kmd     AAAA   2606:4700::6812:7c1
clinical-search-service  A      104.18.6.193
clinical-search-service  A      104.18.7.193
clinical-search-service  AAAA   2606:4700::6812:6c1
clinical-search-service  AAAA   2606:4700::6812:7c1
cosmo-admission-webhook  A      104.18.6.193
cosmo-admission-webhook  A      104.18.7.193
cosmo-admission-webhook  AAAA   2606:4700::6812:6c1
cosmo-admission-webhook  AAAA   2606:4700::6812:7c1
data-build-tool          A      104.18.6.193
data-build-tool          A      104.18.7.193
data-build-tool          AAAA   2606:4700::6812:6c1
data-build-tool          AAAA   2606:4700::6812:7c1
demo                     A      104.18.6.193
demo                     A      104.18.7.193
demo                     AAAA   2606:4700::6812:6c1
demo                     AAAA   2606:4700::6812:7c1
eligibility              A      104.18.6.193
eligibility              A      104.18.7.193
eligibility              AAAA   2606:4700::6812:6c1
eligibility              AAAA   2606:4700::6812:7c1
emr-connect              A      104.18.6.193
emr-connect              A      104.18.7.193
emr-connect              AAAA   2606:4700::6812:6c1
emr-connect              AAAA   2606:4700::6812:7c1
event-enrichment         A      104.18.6.193
event-enrichment         A      104.18.7.193
